,precision,recall,f1-score,support
Etat,0.9322033898305084,0.8208955223880597,0.873015873015873,67.0
Inland,0.8736842105263158,0.8137254901960784,0.8426395939086295,102.0
International,0.9020979020979021,0.8543046357615894,0.8775510204081631,151.0
Kultur,0.8571428571428571,0.8888888888888888,0.8727272727272727,54.0
Panorama,0.8181818181818182,0.8571428571428571,0.8372093023255814,168.0
Sport,0.9915966386554622,0.9833333333333333,0.9874476987447698,120.0
Web,0.9156626506024096,0.9047619047619048,0.9101796407185628,168.0
Wirtschaft,0.8333333333333334,0.8865248226950354,0.859106529209622,141.0
Wissenschaft,0.859375,0.9649122807017544,0.9090909090909092,57.0
accuracy,0.8842412451361867,0.8842412451361867,0.8842412451361867,0.8842412451361867
macro avg,0.8870308667078451,0.8860544150966113,0.8854408711277092,1028.0
weighted avg,0.8860289460011979,0.8842412451361867,0.8843249490244904,1028.0
